Date,Price,Open,High,Low,Vol.,Change %
07/10/2025,309.87,300.05,310.48,300,104.37M,4.73%
07/09/2025,295.88,297.55,300.15,293.55,75.59M,-0.65%
07/08/2025,297.81,297,304.05,294.35,103.25M,1.32%
07/07/2025,293.94,291.37,296.15,288.77,131.18M,-6.79%
07/03/2025,315.35,317.99,318.45,312.76,58.04M,-0.10%
07/02/2025,315.65,312.63,316.83,303.82,119.48M,4.97%
07/01/2025,300.71,298.46,305.89,293.21,145.09M,-5.34%
06/30/2025,317.66,319.9,325.58,316.6,76.70M,-1.84%
06/27/2025,323.63,324.51,329.34,317.49,89.07M,-0.66%
06/26/2025,325.78,324.61,331.05,323.61,80.44M,-0.54%
06/25/2025,327.55,342.7,343,320.4,119.85M,-3.79%
06/24/2025,340.47,356.17,356.26,340.44,114.74M,-2.35%
06/23/2025,348.68,327.54,357.54,327.48,190.72M,8.23%
06/20/2025,322.16,327.95,332.36,317.78,108.69M,0.03%
06/18/2025,322.05,317.31,329.32,315.45,95.14M,1.80%
06/17/2025,316.35,326.09,327.26,314.74,88.28M,-3.88%
06/16/2025,329.13,331.29,332.05,326.41,83.93M,1.17%
06/13/2025,325.31,313.97,332.99,313.3,128.96M,1.94%
06/12/2025,319.11,323.08,332.56,316.86,105.13M,-2.24%
06/11/2025,326.43,334.39,335.5,322.5,122.61M,0.10%
